team,region
100 Thieves,NA
Cloud9,NA
Dignitas,NA
Disguised,NA
FlyQuest,NA
LYON,NA
Sentinels,NA
Shopify Rebellion,NA
Team Liquid,NA
Fnatic,EU
G2 Esports,EU
GiantX,EU
Karmine Corp,EU
Movistar KOI,EU
Natus Vincere,EU
Rogue,EU
SK Gaming,EU
Team BDS,EU
Team Heretics,EU
Team Vitality,EU
Anyone's Legends,CN
Bilibili Gaming,CN
EDward Gaming,CN
Invictus Gaming,CN
JD Gaming,CN
LGD Gaming,CN
LNG Esports,CN
Ninjas in Pyjamas,CN
Oh My God,CN
Royal Never Give Up,CN
Team WE,CN
ThunderTalk Gaming,CN
Top Esports,CN
Ultra Prime,CN
Weibo Gaming,CN
FunPlus Phoenix,CN
Dplus KIA,KR
DRX,KR
BNK FEARX,KR
DN Freecs,KR
Gen.G,KR
Hanwha Life Esports,KR
KT Rolster,KR
OKSavingsBank BRION,KR
Nongshim RedForce,KR
T1,KR
